127.0.0.1 - - [22/Sep/2019:11:47:54 +0300] "GET / HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [22/Sep/2019:11:47:55 +0300] "GET /web_api/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2019:11:49:56 +0300] "GET /web_api/meetings/some HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [22/Sep/2019:11:50:33 +0300] "GET /web_api/meetings/some HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:25:59 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:25:59 +0300] "GET /web_api/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:25:59 +0300] "GET /web_api/Users/getUser/1/1/1 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:26:01 +0300] "GET /web_api/destinations/GET HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:26:02 +0300] "GET /web_api/meetings/getMeetindsByDestId/2 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:26:14 +0300] "GET /web_api/destinations/GET HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:26:16 +0300] "GET /web_api/meetings/getMeetindsByDestId/1 HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:28:54 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:28:59 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:29:13 +0300] "GET /web_api/destinations/GET HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:29:16 +0300] "GET /web_api/meetings/getMeetindsByDestId/1 HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:30:07 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:30:08 +0300] "GET /web_api/destinations/GET HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:30:09 +0300] "GET /web_api/meetings/getMeetindsByDestId/1 HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:37:05 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:37:19 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:37:23 +0300] "GET /web_api/destinations/GET HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:37:24 +0300] "GET /web_api/meetings/getMeetindsByDestId/1 HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:50:51 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:52:49 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:53:21 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:53:32 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:53:33 +0300] "GET /web_api/destinations/GET HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [22/Sep/2019:12:53:36 +0300] "GET /web_api/meetings/getMeetindsByDestId/1 HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [22/Sep/2019:13:01:55 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:13:02:43 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:13:05:06 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:13:06:00 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:13:07:16 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2019:13:08:39 +0300] "GET /web_api/meetings/getMeetindsByDestId/undefined HTTP/1.1" 200 12
