127.0.0.1 - - [06/Sep/2019:14:44:32 +0300] "GET / HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [06/Sep/2019:14:45:25 +0300] "GET /web_api HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2019:14:45:25 +0300] "GET /web_api/ HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [06/Sep/2019:14:45:25 +0300] "GET /favicon.ico HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [06/Sep/2019:14:45:47 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [06/Sep/2019:15:07:33 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [06/Sep/2019:15:07:33 +0300] "GET /web_api/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [06/Sep/2019:15:07:33 +0300] "GET /web_api/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [06/Sep/2019:15:07:35 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [06/Sep/2019:15:07:35 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [06/Sep/2019:15:07:35 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
