0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:30:08 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:30:08 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:30:38 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:19 +0300] "GET /web_api/Users/Login//Avigail/ HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:26 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:26 +0300] "GET /web_api/Users/isManager/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:26 +0300] "GET /web_api/Users/getUser/1/Avigail/Feder HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:28 +0300] "GET /web_api/meetings/getMeetingsByUserId/315163659 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:32 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:32 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:32 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:32 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:32 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:39 +0300] "POST /web_api/Messages/addMessage HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:48 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:48 +0300] "GET /web_api/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:48 +0300] "GET /web_api/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:50 +0300] "GET /web_api/meetings/getMeetingsByUserId/1 HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:31:50 +0300] "GET /web_api/destinations/getNameById/1 HTTP/1.1" 200 120
