127.0.0.1 - - [11/Sep/2019:11:35:52 +0300] "GET / HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [11/Sep/2019:11:35:53 +0300] "GET /web_api/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2019:11:36:39 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 500 4992
0:0:0:0:0:0:0:1 - - [11/Sep/2019:11:54:59 +0300] "GET /web_api/Users/Login/getUsers HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Sep/2019:11:55:38 +0300] "GET /web_api/Users/getUsers HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [11/Sep/2019:11:55:55 +0300] "GET /web_api/Users/getUsers HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [11/Sep/2019:11:57:08 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [11/Sep/2019:11:57:42 +0300] "GET /web_api/Users/Login/1/Nava/Eisenstein HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:11:58:24 +0300] "GET /web_api/Users/Login/1/Nava/Eisenstain HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:11:59:20 +0300] "GET /web_api/Users/Login/1/Nava/Eisenstein HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:00:27 +0300] "GET /web_api/Users/Login/1/Nava/Eisenstein HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:00:41 +0300] "GET /web_api/Users/Login/1/Nava/Eisenstein HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:01:23 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:01:34 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:01:34 +0300] "GET /web_api/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:01:34 +0300] "GET /web_api/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:05:12 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:07:48 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:08:58 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:10:07 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:10:23 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:11:25 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:11:36 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:12:55 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:13:05 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:14:46 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:15:13 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:18:16 +0300] "GET /web_api/Users/Login/1/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:18:49 +0300] "GET /web_api/Users/Login/2/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:20:03 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:20:03 +0300] "GET /favicon.ico HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:20:22 +0300] "GET /web_api/Users/Login/Avigail/u/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:20:26 +0300] "GET /web_api/Users/Login/Avigail/u/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:20:47 +0300] "GET /web_api/Users/Login/0/Avigail/Feder HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:20:48 +0300] "GET /web_api/Users/isManager/0/Avigail/Feder HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:20:48 +0300] "GET /web_api/Users/getUser/0/Avigail/Feder HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:21:35 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:21:44 +0300] "GET /web_api/Users/Login/Avigail/9/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:22:26 +0300] "GET /web_api/Users/Login/Avigail/9/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:22:33 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:24:10 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:24:23 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 500 3096
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:26:22 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 500 3096
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:26:25 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:26:33 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:40:06 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:40:16 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:52:27 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:52:32 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:53:46 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:53:52 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [11/Sep/2019:12:54:28 +0300] "GET /web_api/Users/Login/Avigail/Feder/1 HTTP/1.1" 200 27
